x1.2,,x1.5,,x2.0,,x2.5,,x3.0,
X,Y,X,Y,X,Y,X,Y,X,Y
-1.9950351675630946,0.006952997060976462,-1.9933802234174596,-0.19233763209675492,-1.9933802234174596,-0.39162790888880594,-1.9884153909805544,-0.592622578476976,-1.9917252792718245,-0.7919121505376662
-1.8014067025237899,0.0069117702763691335,-1.806371534960695,-0.19067411371956333,-1.8047165908150598,-0.3916680785763724,-1.8030616466694251,-0.5892553720350265,-1.8063715349606952,-0.7834349369984849
-1.6028134050475795,0.006869486394720514,-1.6011584609019447,-0.18901447136485616,-1.5995035167563094,-0.3866017648235104,-1.5995035167563092,-0.5858920416155619,-1.6044683491932148,-0.781774589912417
-1.3992552751344645,0.0068261454160307156,-1.4009102192800993,-0.18394710051495322,-1.4009102192800995,-0.3849407130060817,-1.4009102192800993,-0.5782693148513621,-1.4025651634257343,-0.7707458964814234
-1.2039718659495244,0.01615291261066848,-1.2039718659495242,-0.18313736418138282,-1.2039718659495242,-0.3747626303275857,-1.2056268100951595,-0.5587225334622602,-1.2039718659495242,-0.7511998198236823
-1.003723624327679,0.022071951310110194,-1.0053785684733139,-0.1687012946208738,-1.0037236243276788,-0.34414522399152225,-1.0037236243276788,-0.5323638187395704,-1.0004137360364087,-0.7299514645639053
-0.8018204385601986,0.04246899108602925,-0.8034753827058336,-0.1236058872083331,-0.8001654944145635,-0.29734683324558464,-0.801820438560199,-0.5060051040168809,-0.7985105502689285,-0.7197744389824506
-0.6081919735208934,0.16336459893591443,-0.6065370293752586,-0.03337102667320113,-0.6081919735208938,-0.2641726615325031,-0.6065370293752586,-0.5043433474680914,-0.6032271410839884,-0.7189643502831994
-0.40628878775341226,0.18120663516321706,-0.4062887877534136,0.003208054609633082,-0.4095986760446837,-0.27358329175907703,-0.40463384360777876,-0.5205680252223356,-0.4062887877534136,-0.7368913066394801
-0.20438560198593336,0.11388188643665198,-0.2027306578402981,-0.08455707487154074,-0.20769549027720347,-0.33920470478656506,-0.20107571369466282,-0.5597880872798048,-0.2027306578402981,-0.7590780117061754
-0.007447248655358063,0.0440031912585121,-0.005792304509723234,-0.16039744499645148,-0.009102192800992892,-0.3716103669506834,-0.007447248655358063,-0.576862671055186,-0.009102192800992892,-0.7710425883843245
0.19114604882085207,0.1223143495344221,0.19280099296648734,-0.07527294392423212,0.19280099296648734,-0.32906996308675873,0.19114604882085207,-0.55390992299929,0.19280099296648734,-0.7617172306524084
0.39304923458833274,0.18103644253958162,0.3963591228796024,0.001333821555559389,0.3947041787339671,-0.2746062093292927,0.39635912287960284,-0.519886902362113,0.3963591228796024,-0.7379138718440149
0.5883326437732728,0.15629649575267224,0.586677699627637,-0.043845096523237315,0.5916425320645429,-0.27209313729664475,0.5883326437732728,-0.5028944197902662,0.5899875879189076,-0.7234767451864649
0.7918907736863878,0.0353163201394896,0.790235829540753,-0.1392752366502592,0.790235829540753,-0.3062021351598405,0.7885808853951177,-0.5054920595862112,0.7918907736863878,-0.7235197337994744
0.9937939594538681,0.022498313783400226,0.9921390153082332,-0.17338493924481602,0.990484071162598,-0.34882816388410354,0.9937939594538681,-0.5361957955139743,0.9937939594538681,-0.7320794009078705
1.189077368638808,0.014791723987264138,1.1874224244931728,-0.180239861191413,1.194042201075713,-0.3735698724994152,1.190732312784443,-0.5617877625161029,1.190732312784443,-0.7525613608127669
1.3909805544062883,0.013045399675177483,1.3876706661150178,-0.185392504535974,1.3893256102606535,-0.38383146584416716,1.3893256102606535,-0.5797150712380635,1.3893256102606535,-0.7747470087824212
1.589573851882499,0.012151447943990201,1.5912287960281337,-0.18884251691281873,1.5928837401737685,-0.3889848139200889,1.589573851882498,-0.5865710502817022,1.589573851882499,-0.7833063235251373
1.7865122052130729,0.010406180728944558,1.7881671493587086,-0.19058778412786426,1.7898220935043443,-0.3881750775865185,1.7865122052130737,-0.5908713210453637,1.784857261067439,-0.7859029062240409
1.9735208936698379,0.006959692008904228,1.9735208936698387,-0.1914789169336082,1.9751758378154736,-0.3941762174894946,1.9685560612329325,-0.5951684205179014,1.9751758378154736,-0.790201767524981
